age,gender,income,credit_score,debt_ratio,employment_years,region,approved
52,Male,61194.25,835.0,0.522,11.8,North,1
46,Male,59710.78,732.0,0.801,16.4,East,0
47,Male,120189.83,559.0,0.543,12.6,North,1
26,Female,45000.0,576.0,0.321,5.0,North,1
33,Female,74448.6,704.0,0.57,3.4,North,0
55,Female,83490.01,802.0,0.369,11.0,South,1
63,Female,100590.86,634.0,0.768,8.7,South,0
41,Male,65792.04000000001,596.0,0.672,15.4,South,0
59,Female,104063.28,604.0,0.8280000000000001,12.1,East,0
29,Male,45000.0,720.0,0.382,14.5,North,1
45,Female,126585.06,637.0,0.45899999999999996,0.0,South,1
49,Male,79195.68,635.0,0.38,8.5,South,1
42,Female,85308.39,708.0,0.721,9.2,South,1
26,Female,87083.74,706.0,0.627,2.5,South,0
55,Male,81875.14,637.0,0.393,4.8,North,1
32,Female,95874.32,673.0,0.544,10.6,South,1
42,Male,58357.61,541.0,0.753,7.0,North,0
31,Male,110871.54,630.0,0.713,8.3,East,0
32,Male,70849.91,578.0,0.55,7.1,East,0
59,Female,108872.28,627.0,0.68,5.9,South,1
45,Female,80006.09,549.0,0.365,9.8,South,1
57,Female,88345.91,739.0,0.355,1.5,East,1
36,Male,86201.38,654.0,0.51,20.0,North,1
27,Male,51283.05,570.0,0.44299999999999995,14.2,South,1
40,Male,101867.49,671.0,0.25,8.9,North,1
56,Male,85750.58,562.0,0.536,7.6,South,1
38,Male,45000.0,643.0,0.387,13.1,South,1
49,Female,73089.57,671.0,0.44299999999999995,10.8,South,1
60,Female,120409.48,679.0,0.38,12.5,South,1
56,Male,62801.2,628.0,0.539,4.6,North,0
54,Male,90015.43,541.0,0.572,5.4,East,0
30,Female,102134.59,593.0,0.6920000000000001,3.2,South,0
29,Female,70056.4,754.0,0.722,3.2,South,1
50,Female,102171.53,703.0,0.391,9.0,South,1
37,Female,93877.8,676.0,0.43799999999999994,20.3,North,1
64,Female,76226.55,671.0,0.549,2.1,East,1
43,Female,94856.89,658.0,0.651,19.3,South,1
42,Female,105244.91,716.0,0.497,11.6,East,1
43,Male,117494.18,649.0,0.655,1.9,East,1
29,Female,81577.46,715.0,0.523,6.3,South,1
39,Male,68094.7,725.0,0.59,1.8,East,0
32,Female,96339.69,533.0,0.626,0.0,South,0
43,Male,71771.76000000001,647.0,0.271,3.0,South,1
29,Female,108857.1,766.0,0.538,7.2,South,1
42,Male,85764.74,645.0,0.381,5.5,South,1
57,Male,85578.21,579.0,0.41900000000000004,7.1,North,1
56,Male,79051.69,667.0,0.39,5.9,North,1
32,Male,72370.15,638.0,0.5589999999999999,14.7,North,1
51,Male,77332.41,664.0,0.386,1.1,North,1
