age,gender,income,credit_score,debt_ratio,employment_years,region,approved
29,Male,61261.2,740.0,0.58,5,South,1
63,Female,66716.58,602.0,0.82,40,South,1
68,Female,38420.54,665.0,0.65,45,West,1
37,Male,84313.53,579.0,0.61,15,South,1
68,Male,37580.67,683.0,0.61,45,East,1
46,Male,25000.0,708.0,0.31,23,East,1
32,Male,58307.13,780.0,0.55,8,East,1
33,Male,79257.1,649.0,0.63,12,East,1
29,Female,51142.4,634.0,0.88,6,South,0
51,Male,90601.25,629.0,0.83,27,South,1
63,Male,42000.62,546.0,0.8,40,West,0
29,Male,30773.2,506.0,0.49,9,North,0
57,Female,61526.24,686.0,0.65,33,West,1
66,Female,25000.0,560.0,0.74,44,West,0
71,Male,39084.78,588.0,0.76,45,East,1
51,Female,46779.33,752.0,0.59,31,North,1
30,Male,50474.18,679.0,0.64,7,South,0
28,Male,43181.5,630.0,0.48,5,North,0
40,Male,53852.73,656.0,0.81,16,East,0
68,Male,55913.18,627.0,0.62,45,North,1
36,Male,72648.78,651.0,0.62,16,South,1
48,Male,52380.31,617.0,0.87,26,East,0
67,Female,60580.15,595.0,0.85,44,West,1
43,Male,48175.81,622.0,0.74,19,East,0
55,Female,66599.3,570.0,0.7,34,South,1
65,Male,63371.47,648.0,0.48,43,West,1
74,Male,50108.48,573.0,0.54,45,West,1
64,Female,47360.16,531.0,0.37,42,West,1
72,Male,25000.0,499.0,0.77,45,North,0
45,Male,78220.74,718.0,0.32,22,South,1
37,Male,37659.62,578.0,0.47,16,South,0
60,Female,44034.95,437.0,0.8,37,East,0
49,Female,51232.25,692.0,0.63,27,East,1
69,Female,86444.75,536.0,0.62,45,South,1
63,Male,38054.13,776.0,0.69,39,South,1
47,Male,89054.51,575.0,0.45,27,East,1
50,Female,55298.27,636.0,0.62,27,South,1
54,Male,44719.3,460.0,0.85,31,South,0
33,Female,93482.21,544.0,0.72,9,West,1
40,Male,93090.34,559.0,0.55,17,South,1
60,Female,60352.86,638.0,0.49,37,East,1
55,Male,49844.48,599.0,0.66,35,East,1
29,Female,30488.22,520.0,0.72,6,South,0
72,Male,67063.64,605.0,0.65,45,West,1
39,Female,71789.03,657.0,0.32,19,East,1
39,Female,79469.21,599.0,0.77,18,West,1
57,Male,59650.46,541.0,0.6,33,South,1
59,Female,66516.99,645.0,0.83,39,South,1
69,Female,50776.34,562.0,0.44,45,South,1
61,Female,55865.18,556.0,0.33,40,East,1
40,Female,57797.25,702.0,0.64,18,South,1
41,Male,65065.91,645.0,0.55,18,West,1
40,Female,40180.93,505.0,0.75,20,South,0
63,Female,82364.16,573.0,0.33,43,East,1
52,Male,25000.0,684.0,0.41,29,West,1
68,Male,65507.53,498.0,0.66,44,North,1
37,Male,65725.69,713.0,0.46,17,South,1
68,Male,32295.97,494.0,0.5,45,West,1
39,Female,25000.0,674.0,0.64,19,North,0
28,Female,55597.08,777.0,0.37,8,North,1
51,Male,48866.8,514.0,0.32,27,East,1
39,Male,65174.2,619.0,0.83,19,East,0
63,Female,80379.22,416.0,0.48,42,North,1
