age,gender,income,credit_score,debt_ratio,employment_years,region,approved
50,Female,43401.94,566.0,0.539,17.4,East,0
40,Female,103705.21,701.0,0.333,4.5,North,1
57,Male,84850.91,626.0,0.348,2.8,East,1
37,Male,62942.97,603.0,0.38,7.1,South,1
42,Female,78216.94,628.0,0.146,2.7,South,1
46,Female,91325.35,675.0,0.39,1.9,East,0
32,Male,55403.56,519.0,0.249,13.6,North,1
63,Male,36603.69,698.0,0.481,1.0,South,0
44,Female,73011.54,584.0,0.56,8.1,North,0
43,Male,88266.51,588.0,0.57,0.1,North,0
35,Female,55560.98,579.0,0.329,8.9,East,0
38,Male,57224.42,619.0,0.32,4.0,North,1
47,Male,84660.97,617.0,0.106,16.5,North,1
58,Female,71862.59,651.0,0.552,12.7,South,0
47,Male,86776.16,641.0,0.676,10.9,North,0
38,Female,77743.67,763.0,0.576,3.5,South,0
57,Male,41673.65,704.0,0.321,13.6,North,1
60,Female,57581.53,679.0,0.239,4.7,South,1
58,Female,71908.53,624.0,0.416,12.7,North,0
61,Male,59764.26,636.0,0.214,5.0,South,1
28,Male,36360.26,643.0,0.452,2.5,North,0
46,Male,96852.33,557.0,0.333,4.1,South,1
51,Female,30000.0,657.0,0.277,12.0,North,1
34,Female,52820.97,678.0,0.514,6.4,South,0
47,Male,63298.93,604.0,0.432,4.2,South,0
41,Female,38584.12,506.0,0.414,12.3,East,0
55,Male,98305.03,688.0,0.47,12.1,North,1
26,Female,46522.06,675.0,0.466,8.5,North,0
56,Female,68257.11,658.0,0.385,0.0,East,0
55,Male,80506.48,713.0,0.45,0.7,North,1
33,Male,30000.0,667.0,0.32,11.9,East,0
43,Male,89308.66,676.0,0.34,4.9,North,1
51,Male,82307.7,746.0,0.353,3.1,South,1
49,Female,83650.85,741.0,0.328,10.5,South,0
61,Female,58840.46,632.0,0.453,18.9,East,0
24,Male,76985.52,597.0,0.269,6.2,North,1
37,Female,69942.66,691.0,0.417,10.3,South,1
29,Female,92614.29,671.0,0.595,0.0,South,0
58,Female,53252.52,564.0,0.726,1.7,North,0
45,Male,84475.08,731.0,0.297,11.8,South,1
48,Male,51472.63,725.0,0.534,7.9,North,1
56,Female,35044.8,744.0,0.312,10.8,East,1
47,Female,70504.09,577.0,0.277,1.0,South,1
36,Male,63760.74,669.0,0.595,4.9,South,0
62,Female,119903.17,600.0,0.466,7.2,South,1
41,Male,109043.41,575.0,0.119,0.3,North,1
48,Male,47557.12,769.0,0.532,7.8,North,1
26,Female,67738.15,595.0,0.408,7.5,East,1
35,Male,101014.92,666.0,0.324,6.5,North,1
52,Male,30000.0,607.0,0.451,11.8,East,1
34,Male,54654.56,595.0,0.386,5.4,North,0
29,Male,80616.8,690.0,0.1,5.9,North,1
45,Male,76808.8,767.0,0.327,3.7,East,1
62,Male,49825.55,767.0,0.163,2.7,North,1
50,Male,44115.21,677.0,0.587,13.9,North,0
30,Female,30000.0,597.0,0.145,9.2,East,0
28,Male,68356.85,687.0,0.432,13.1,South,1
53,Female,93672.63,640.0,0.435,5.1,East,0
45,Female,50141.85,672.0,0.265,6.9,East,1
22,Male,77603.09,602.0,0.258,0.0,North,1
64,Male,119779.88,734.0,0.1,13.6,North,1
33,Male,64918.41,759.0,0.184,7.5,East,1
50,Female,63819.68,784.0,0.696,9.5,South,0
34,Female,54997.17,670.0,0.654,17.3,South,1
26,Female,63210.13,613.0,0.41,2.7,South,0
42,Female,76806.86,664.0,0.374,12.0,South,1
49,Female,73298.58,588.0,0.145,10.3,South,1
24,Female,94478.99,567.0,0.654,3.0,South,0
38,Male,74087.75,599.0,0.413,6.7,North,0
57,Male,96313.79,738.0,0.577,2.3,North,0
57,Male,30000.0,684.0,0.231,16.3,East,1
31,Male,52656.42,790.0,0.332,16.0,North,1
23,Female,56628.06,786.0,0.288,0.0,South,0
38,Male,65434.51,564.0,0.345,8.2,North,1
63,Female,80704.62,559.0,0.352,5.8,South,0
46,Male,41686.53,763.0,0.329,5.3,North,1
33,Male,38676.75,621.0,0.374,7.6,North,0
22,Male,60244.95,724.0,0.526,1.6,North,0
54,Male,67319.63,584.0,0.494,4.4,East,0
46,Male,80325.79,544.0,0.285,0.0,North,0
32,Male,60820.57,835.0,0.466,3.9,South,1
33,Female,30000.0,671.0,0.512,0.0,South,0
25,Female,88205.88,801.0,0.465,0.5,South,1
25,Male,66527.54,814.0,0.262,3.6,South,1
29,Male,82587.52,594.0,0.32,3.1,North,1
23,Male,93238.05,637.0,0.249,6.2,North,1
61,Male,75913.63,584.0,0.451,3.9,North,1
48,Male,65054.89,553.0,0.689,10.1,East,0
44,Female,77129.96,594.0,0.136,0.0,North,0
53,Female,30000.0,605.0,0.427,0.0,South,0
29,Female,83473.5,627.0,0.179,21.1,North,0
57,Male,76268.84,700.0,0.465,13.0,South,1
61,Male,43257.61,720.0,0.449,2.7,East,1
60,Male,70934.81,657.0,0.683,12.4,North,0
59,Female,66625.7,673.0,0.187,2.9,South,1
62,Male,78779.58,708.0,0.234,8.8,North,1
